openalex_id,doi,pmid,title,publication_year,abstract,abstract_chars,abstract_source,abstract_word_count,concepts,topics,mesh_headings,mesh_species
https://openalex.org/W3045017962,https://doi.org/10.1002/ehf2.12915,32710530,ZSF1 Rat as Animal Model for HFpEF: Development of Reduced Diastolic Function and Skeletal Muscle Dysfunction,2020,"AIMS: The prevalence of heart failure with preserved ejection fraction (HFpEF) is still increasing, and so far, no pharmaceutical treatment has proven to be effective. A key obstacle for testing new pharmaceutical substances is the availability of suitable animal models for HFpEF, which realistically reflect the clinical picture. The aim of the present study was to characterize the development of HFpEF and skeletal muscle (SM) dysfunction in ZSF1 rats over time. METHODS AND RESULTS: Echocardiography and functional analyses of the SM were performed in 6-, 10-, 15-, 20-, and 32-week-old ZSF1-lean and ZSF1-obese. Furthermore, myocardial and SM tissue was collected for molecular and histological analyses. HFpEF markers were evident as early as 10 weeks of age. Diastolic dysfunction, confirmed by a significant increase in E/e', was detectable at 10 weeks. Increased left ventricular mRNA expression of collagen and BNP was detected in ZSF1-obese animals as early as 15 and 20 weeks, respectively. The loss of muscle force was measurable in the extensor digitorum longus starting at 15 weeks, whereas the soleus muscle function was impaired at Week 32. In addition, at Week 20, markers for aortic valve sclerosis were increased. CONCLUSIONS: Our measurements confirmed the appearance of HFpEF in ZSF1-obese rats as early as 10 weeks of age, most likely as a result of the pre-existing co-morbidities. In addition, SM function was reduced after the manifestation of HFpEF. In conclusion, the ZSF1 rat may serve as a suitable animal model to study pharmaceutical strategies for the treatment of HFpEF.",1605,pubmed,249,Medicine:0.8899; Heart failure with preserved ejection fraction:0.8055; Cardiology:0.7041; Internal medicine:0.6968; Heart failure:0.6768; Diastolic function:0.5837; Diastole:0.5727; Ejection fraction:0.4634; Skeletal muscle:0.4619; Blood pressure:0.1291,Cardiovascular Function and Risk Factors:0.981; Cardiomyopathy and Myosin Studies:0.0084; Cardiac Fibrosis and Remodeling:0.0037,"Animals; Diastole; Disease Models, Animal; Heart Failure; Muscle, Skeletal; Rats; Stroke Volume",Rats
https://openalex.org/W4404873586,https://doi.org/10.1016/j.biopha.2024.117711,39616735,The NLRP3-inflammasome inhibitor MCC950 improves cardiac function in a HFpEF mouse model,2024,"Heart failure with preserved ejection fraction (HFpEF) is posing a significant medical challenge due to its growing prevalence, high hospitalization rates and limited response to current treatment options. Accumulating evidence suggests that a comorbidity-driven systemic pro-inflammatory state, including activation of the NLRP3 inflammasome, contributes to the pathogenesis of HFpEF. This study aimed to investigate the potential cardiac protective effects of the selective NLRP3 inhibitor MCC950, in a mouse model of HFpEF. HFpEF was obtained in 18-22 months old female mice using high-fat diet (HFD) and angiotensin II (AngII) infusion. Mice developed HFpEF and comorbidities such as obesity, type 2 diabetes, and hypertension. MCC950 was added to HFD and groups were treated for four weeks until the study endpoint. MCC950 treatment resulted in lower plasma IL-18 levels (-47.3 %), illustrating target engagement. First, we observed that MCC950 treatment improved left ventricular function, demonstrated by enhanced global longitudinal strain (GLS, 3.9 %, P<0.01) and reverse peak longitudinal strain (RPLSR, +46.8 %, P<0.05). Second, MCC950 reduced cardiac hypertrophy (cardiomyocyte size -19.5 %, P<0.001) and fibrosis (-32.5 %, P<0.05), accompanied by lower expression of pro-fibrotic genes. Finally, MCC950 treatment reduced macrophage infiltration in left ventricular tissue and attenuated macrophage accumulation in visceral adipose tissue, even more as compared to caloric restriction. Overall, this suggests that NLRP3 inhibition could be a promising treatment for HFpEF patients with a pro-inflammatory profile, potentially improving heart function, systemic inflammation, and metabolic parameters.",1712,pubmed,234,Inflammasome:0.888; Function (biology):0.5413; Cardiac function curve:0.5333; Medicine:0.5314; Receptor:0.3538; Cardiology:0.2633; Cell biology:0.2349; Internal medicine:0.2172; Biology:0.1891; Heart failure:0.1395,"Cardiovascular, Neuropeptides, and Oxidative Stress Research:0.9974; Fatty Acid Research and Health:0.9972; Eicosanoids and Hypertension Pharmacology:0.9954","Animals; NLR Family, Pyrin Domain-Containing 3 Protein; Sulfonamides; Disease Models, Animal; Female; Furans; Inflammasomes; Heart Failure; Mice; Indenes; Sulfones; Mice, Inbred C57BL; Stroke Volume; Ventricular Function, Left; Diet, High-Fat; Angiotensin II; Heterocyclic Compounds, 4 or More Rings","Mice; Mice, Inbred C57BL"
https://openalex.org/W4296480866,https://doi.org/10.3390/ijms231910989,36232292,Empagliflozin Preserves Skeletal Muscle Function in a HFpEF Rat Model,2022,"Besides structural alterations in the myocardium, heart failure with preserved ejection fraction (HFpEF) is also associated with molecular and physiological alterations of the peripheral skeletal muscles (SKM) contributing to exercise intolerance often seen in HFpEF patients. Recently, the use of Sodium-Glucose-Transporter 2 inhibitors (SGLT2i) in clinical studies provided evidence for a significant reduction in the combined risk of cardiovascular death or hospitalization for HFpEF. The present study aimed to further elucidate the impact of Empagliflozin (Empa) on: (1) SKM function and metabolism and (2) mitochondrial function in an established HFpEF rat model. At the age of 24 weeks, obese ZSF1 rats were randomized either receiving standard care or Empa in the drinking water. ZSF1 lean animals served as healthy controls. After 8 weeks of treatment, echocardiography and SKM contractility were performed. Mitochondrial function was assessed in saponin skinned fibers and SKM tissue was snap frozen for molecular analyses. HFpEF was evident in the obese animals when compared to lean-increased E/é and preserved left ventricular ejection fraction. Empa treatment significantly improved E/é and resulted in improved SKM contractility with reduced intramuscular lipid content. Better mitochondrial function (mainly in complex IV) with only minor modulation of atrophy-related proteins was seen after Empa treatment. The results clearly documented a beneficial effect of Empa on SKM function in the present HFpEF model. These effects were accompanied by positive effects on mitochondrial function possibly modulating SKM function.",1638,pubmed,232,Empagliflozin:0.9137; Heart failure with preserved ejection fraction:0.751; Internal medicine:0.7306; Medicine:0.7062; Cardiology:0.6197; Contractility:0.6092; Ejection fraction:0.5504; Endocrinology:0.5449; Exercise intolerance:0.54; Heart failure:0.52; Cardiorespiratory fitness:0.4381; Skeletal muscle:0.413; Type 2 diabetes:0.403; Diabetes mellitus:0.401,"Cardiovascular Function and Risk Factors:0.9997; Metabolism, Diabetes, and Cancer:0.9994; Pancreatic function and diabetes:0.9985","Animals; Benzhydryl Compounds; Disease Models, Animal; Drinking Water; Glucose; Glucosides; Heart Failure; Lipids; Muscle, Skeletal; Obesity; Rats; Saponins; Sodium; Stroke Volume; Ventricular Function, Left",Rats
https://openalex.org/W2626105304,https://doi.org/10.1161/circheartfailure.116.003806,28611124,Endothelial Senescence Contributes to Heart Failure With Preserved Ejection Fraction in an Aging Mouse Model,2017,"BACKGROUND: Because of global aging, the prevalence of heart failure with preserved ejection fraction (HFpEF) continues to rise. Although HFpEF pathophysiology remains incompletely understood, endothelial inflammation is stated to play a central role. Cellular senescence is a process of cellular growth arrest linked with aging and inflammation. We used mice with accelerated aging to investigate the role of cellular senescence in HFpEF development. METHODS AND RESULTS: Senescence-accelerated mice (SAM, n=18) and control mice with normal senescence (n=15) were fed normal chow or a high-fat, high-salt diet (WD). Vascular and cardiac function was assessed at 8, 16, and 24 weeks of age. At 24 weeks, both SAM on WD (SAM-WD) and SAM on regular diet displayed endothelial dysfunction, as evidenced by impaired acetylcholine-induced relaxation of aortic segments and reduced basal nitric oxide. At week 24, SAM-WD had developed HFpEF, characterized by diastolic dysfunction, left ventricular hypertrophy, left atrial dilatation, and interstitial fibrosis. Also, exercise capacity was reduced and lung weight increased. Cardiovascular inflammation and senescence were assessed by immunohistochemical and immunofluorescence staining of hearts and aortas. SAM-WD showed increased endothelial inflammation (intercellular adhesion molecule 1 expression) and increased endothelial senescence (acetyl-p53/CD31 costaining). The latter correlated with diastolic function and intercellular adhesion molecule 1 expression. CONCLUSIONS: SAM develop endothelial dysfunction. Adding a high-salt, high-fat diet accelerates endothelial senescence and instigates endothelial inflammation. This coincides with hemodynamic and structural changes typical of HFpEF. Targeting endothelial senescence could be a new therapeutic avenue in HFpEF.",1822,pubmed,241,Senescence:0.884; Endothelial dysfunction:0.6867; Internal medicine:0.6625; Inflammation:0.5805; Endothelium:0.5613; Heart failure:0.5602; Heart failure with preserved ejection fraction:0.5198; Medicine:0.4857; Endocrinology:0.483; Ageing:0.4767; Fibrosis:0.4502; Diastole:0.4484; Ejection fraction:0.3649; Cardiology:0.3477; Blood pressure:0.107,Cardiovascular Function and Risk Factors:0.483; Cardiac Fibrosis and Remodeling:0.1348; Nitric Oxide and Endothelin Effects:0.1185,"Aging; Animals; Cellular Senescence; Disease Models, Animal; Echocardiography; Endothelium, Vascular; Female; Heart Failure; Mice; Stroke Volume",Mice
https://openalex.org/W1516799253,https://doi.org/10.1002/ejhf.239,25655080,"Heart Failure with Preserved Ejection Fraction Induces Molecular, Mitochondrial, Histological, and Functional Alterations in Rat Respiratory and Limb Skeletal Muscle",2015,"AIMS: Peripheral muscle dysfunction is a key mechanism contributing to exercise intolerance (i.e. breathlessness and fatigue) in heart failure patients with preserved ejection fraction (HFpEF); however, the underlying molecular and cellular mechanisms remain unknown. We therefore used an animal model to elucidate potential molecular, mitochondrial, histological, and functional alterations induced by HFpEF in the diaphragm and soleus, while also determining the possible benefits associated with exercise training. METHODS AND RESULTS: Female Dahl salt-sensitive rats were fed a low (CON; n = 10) or high salt (HFpEF; n = 11) diet of 0.3% or 8% NaCl, respectively, or a high salt diet in combination with treadmill exercise training (n = 11). Compared with low-salt rats, high-salt rats developed (P < 0.05) HFpEF. Compared with CON, the diaphragm of HFpEF rats demonstrated (P < 0.05): a fibre type shift from fast-to-slow twitch; fibre atrophy; a decreased pro-oxidative but increased anti-oxidant capacity; reduced proteasome activation; impaired in situ mitochondrial respiration; and in vitro muscle weakness and increased fatigability. The soleus also demonstrated numerous alterations (P < 0.05), including fibre atrophy, decreased anti-oxidant capacity, reduced mitochondrial density, and increased fatigability. Exercise training, however, prevented mitochondrial and functional impairments in both the diaphragm and soleus (P < 0.05). CONCLUSION: Our findings are the first to demonstrate that HFpEF induces significant molecular, mitochondrial, histological, and functional alterations in the diaphragm and soleus, which were attenuated by exercise training. These data therefore reveal novel mechanisms and potential therapeutic treatments of exercise intolerance in HFpEF.",1788,pubmed,247,Heart failure with preserved ejection fraction:0.761; Medicine:0.747; Exercise intolerance:0.6976; Internal medicine:0.6496; Heart failure:0.5803; Atrophy:0.5775; Endocrinology:0.5436; Cardiology:0.5207; Diaphragm (acoustics):0.5182; Oxidative stress:0.4678; Endurance training:0.4656; Ejection fraction:0.4461; Skeletal muscle:0.4407; Mitochondrion:0.4313; Weakness:0.4129; Anatomy:0.2177; Chemistry:0.1685; Biochemistry:0.1577; Loudspeaker:0; Physics:0; Acoustics:0,Cardiovascular and exercise physiology:0.6061; Cardiovascular Function and Risk Factors:0.2891; Heart Failure Treatment and Management:0.0204,"Animals; Catalase; Diaphragm; Exercise Tolerance; Female; Heart Failure; Mitochondria, Muscle; Models, Animal; Muscle, Skeletal; Myosin Light Chains; NADPH Oxidases; Oxidative Stress; Rats; Rats, Inbred Dahl; Stroke Volume; Superoxide Dismutase; Troponin C","Rats; Rats, Inbred Dahl"
https://openalex.org/W2306006469,https://doi.org/10.1007/s12471-016-0815-9,26936157,Animal models of heart failure with preserved ejection fraction,2016,"Heart failure with preserved ejection fraction (HFpEF) constitutes a clinical syndrome in which the diagnostic criteria of heart failure are not accompanied by gross disturbances of systolic function, as assessed by ejection fraction. In turn, under most circumstances, diastolic function is impaired. Although it now represents over 50 % of all patients with heart failure, the mechanisms of HFpEF remain understood, precluding effective therapy. Understanding the pathophysiology of HFpEF has been restricted by both limited access to human myocardial biopsies and by the lack of animal models that fully mimic human pathology. Animal models are valuable research tools to clarify subcellular and molecular mechanisms under conditions where the comorbidities and other confounding factors can be precisely controlled. Although most of the heart failure animal models currently available represent heart failure with reduced ejection fraction, several HFpEF animal models have been proposed. However, few of these fulfil all the features present in human disease. In this review we will provide an overview of the currently available models to study HFpEF from rodents to large animals as well as present advantages and disadvantages of these models.",1251,pubmed,184,Heart failure:0.875; Heart failure with preserved ejection fraction:0.8528; Ejection fraction:0.8071; Medicine:0.751; Cardiology:0.5686; Internal medicine:0.4697; Confounding:0.4632; Disease:0.4387; Diastole:0.4317; Animal model:0.4111; Blood pressure:0.1314,Cardiovascular Function and Risk Factors:0.9997; Heart Failure Treatment and Management:0.9973; Cardiac electrophysiology and arrhythmias:0.9965,,
https://openalex.org/W4386245637,https://doi.org/10.1038/s41401-023-01152-0,37644131,Animal models of heart failure with preserved ejection fraction (HFpEF): from metabolic pathobiology to drug discovery,2023,"Heart failure (HF) with preserved ejection fraction (HFpEF) is currently a preeminent challenge for cardiovascular medicine. It has a poor prognosis, increasing mortality, and is escalating in prevalence worldwide. Despite accounting for over 50% of all HF patients, the mechanistic underpinnings driving HFpEF are poorly understood, thus impeding the discovery and development of mechanism-based therapies. HFpEF is a disease syndrome driven by diverse comorbidities, including hypertension, diabetes and obesity, pulmonary hypertension, aging, and atrial fibrillation. There is a lack of high-fidelity animal models that faithfully recapitulate the HFpEF phenotype, owing primarily to the disease heterogeneity, which has hampered our understanding of the complex pathophysiology of HFpEF. This review provides an updated overview of the currently available animal models of HFpEF and discusses their characteristics from the perspective of energy metabolism. Interventional strategies for efficiently utilizing energy substrates in preclinical HFpEF models are also discussed.",1079,pubmed,144,Heart failure with preserved ejection fraction:0.9254; Medicine:0.7946; Heart failure:0.6874; Atrial fibrillation:0.6373; Cardiology:0.5906; Disease:0.5745; Internal medicine:0.5441; Pulmonary hypertension:0.455; Intensive care medicine:0.4461; Diabetes mellitus:0.4336; Precision medicine:0.411; Ejection fraction:0.4102; Pathology:0.0953; Endocrinology:0,Cardiovascular Function and Risk Factors:0.9998; Heart Failure Treatment and Management:0.9982; Fuel Cells and Related Materials:0.9914,Animals; Humans; Heart Failure; Stroke Volume; Comorbidity; Hypertension; Drug Discovery,Humans
https://openalex.org/W4319602542,https://doi.org/10.3389/fcvm.2023.1105581,36844730,Fecal microbiome transplantation and tributyrin improves early cardiac dysfunction and modifies the BCAA metabolic pathway in a diet induced pre-HFpEF mouse model,2023,"More than 50% of patients with heart failure present with heart failure with preserved ejection fraction (HFpEF), and 80% of them are overweight or obese. In this study we developed an obesity associated pre-HFpEF mouse model and showed an improvement in both systolic and diastolic early dysfunction following fecal microbiome transplant (FMT). Our study suggests that the gut microbiome-derived short-chain fatty acid butyrate plays a significant role in this improvement. Cardiac RNAseq analysis showed butyrate to significantly upregulate ppm1k gene that encodes protein phosphatase 2Cm (PP2Cm) which dephosphorylates and activates branched-chain α-keto acid dehydrogenase (BCKDH) enzyme, and in turn increases the catabolism of branched chain amino acids (BCAAs). Following both FMT and butyrate treatment, the level of inactive p-BCKDH in the heart was reduced. These findings show that gut microbiome modulation can alleviate early cardiac mechanics dysfunction seen in the development of obesity associated HFpEF.",1021,pubmed,145,Butyrate:0.7938; Heart failure with preserved ejection fraction:0.7668; Heart failure:0.6257; Catabolism:0.6008; Medicine:0.5814; Internal medicine:0.5667; Microbiome:0.5624; Endocrinology:0.4875; Transplantation:0.4692; Diastole:0.4554; Short-chain fatty acid:0.4416; Overweight:0.4222; Cardiology:0.4174; Obesity:0.3797; Ejection fraction:0.3638; Biology:0.2368; Bioinformatics:0.2281; Biochemistry:0.1613; Blood pressure:0.1397; Metabolism:0.1391; Fermentation:0,Cardiovascular Function and Risk Factors:0.9996; Gut microbiota and health:0.9863; Diet and metabolism studies:0.9844,,
https://openalex.org/W4220926375,https://doi.org/10.1002/jcsm.12968,35301823,Targeting MuRF1 by small molecules in a HFpEF rat model improves myocardial diastolic function and skeletal muscle contractility,2022,"BACKGROUND: About half of heart failure (HF) patients, while having preserved left ventricular function, suffer from diastolic dysfunction (so-called HFpEF). No specific therapeutics are available for HFpEF in contrast to HF where reduced ejection fractions (HFrEF) can be treated pharmacologically. Myocardial titin filament stiffening, endothelial dysfunction, and skeletal muscle (SKM) myopathy are suspected to contribute to HFpEF genesis. We previously described small molecules interfering with MuRF1 target recognition thereby attenuating SKM myopathy and dysfunction in HFrEF animal models. The aim of the present study was to test the efficacy of one small molecule (MyoMed-205) in HFpEF and to describe molecular changes elicited by MyoMed-205. METHODS: Twenty-week-old female obese ZSF1 rats received the MuRF1 inhibitor MyoMed-205 for 12 weeks; a comparison was made to age-matched untreated ZSF1-lean (healthy) and obese rats as controls. LV (left ventricle) function was assessed by echocardiography and by invasive haemodynamic measurements until week 32. At week 32, SKM and endothelial functions were measured and tissues collected for molecular analyses. Proteome-wide analysis followed by WBs and RT-PCR was applied to identify specific genes and affected molecular pathways. MuRF1 knockout mice (MuRF1-KO) SKM tissues were included to validate MuRF1-specificity. RESULTS: By week 32, untreated obese rats had normal LV ejection fraction but augmented E/e' ratios and increased end diastolic pressure and myocardial fibrosis, all typical features of HFpEF. Furthermore, SKM myopathy (both atrophy and force loss) and endothelial dysfunction were detected. In contrast, MyoMed-205 treated rats had markedly improved diastolic function, less myocardial fibrosis, reduced SKM myopathy, and increased SKM function. SKM extracts from MyoMed-205 treated rats had reduced MuRF1 content and lowered total muscle protein ubiquitination. In addition, proteomic profiling identified eight proteins to respond specifically to MyoMed-205 treatment. Five out of these eight proteins are involved in mitochondrial metabolism, dynamics, or autophagy. Consistent with the mitochondria being a MyoMed-205 target, the synthesis of mitochondrial respiratory chain complexes I + II was increased in treated rats. MuRF1-KO SKM controls also had elevated mitochondrial complex I and II activities, also suggesting mitochondrial activity regulation by MuRF1. CONCLUSIONS: MyoMed-205 improved myocardial diastolic function and prevented SKM atrophy/function in the ZSF1 animal model of HFpEF. Mechanistically, SKM benefited from an attenuated ubiquitin proteasome system and augmented synthesis/activity of proteins of the mitochondrial respiratory chain while the myocardium seemed to benefit from reduced titin modifications and fibrosis.",2834,pubmed,386,Medicine:0.8725; Cardiology:0.7625; Heart failure with preserved ejection fraction:0.7534; Internal medicine:0.7413; Myopathy:0.6564; Heart failure:0.645; Diastole:0.6444; Contractility:0.6333; Ejection fraction:0.6224; Ventricle:0.5022; Myocardial fibrosis:0.4253; Blood pressure:0.2609,Cardiomyopathy and Myosin Studies:0.5825; Cardiovascular Function and Risk Factors:0.3514; Cardiac Fibrosis and Remodeling:0.0204,"Animals; Connectin; Diastole; Female; Fibrosis; Heart Failure; Mice; Mice, Knockout; Muscle Proteins; Muscle, Skeletal; Muscular Atrophy; Myocardium; Rats; Small Molecule Libraries; Stroke Volume; Tripartite Motif Proteins; Ubiquitin-Protein Ligases","Mice; Mice, Knockout; Rats"
https://openalex.org/W3082464276,https://doi.org/10.1093/cvr/cvaa256,32871009,The effects of liraglutide and dapagliflozin on cardiac function and structure in a multi-hit mouse model of heart failure with preserved ejection fraction,2020,"AIMS: Heart failure with preserved ejection fraction (HFpEF) is a multifactorial disease that constitutes several distinct phenotypes, including a common cardiometabolic phenotype with obesity and type 2 diabetes mellitus. Treatment options for HFpEF are limited, and development of novel therapeutics is hindered by the paucity of suitable preclinical HFpEF models that recapitulate the complexity of human HFpEF. Metabolic drugs, like glucagon-like peptide receptor agonist (GLP-1 RA) and sodium-glucose co-transporter 2 inhibitors (SGLT2i), have emerged as promising drugs to restore metabolic perturbations and may have value in the treatment of the cardiometabolic HFpEF phenotype. We aimed to develop a multifactorial HFpEF mouse model that closely resembles the cardiometabolic HFpEF phenotype, and evaluated the GLP-1 RA liraglutide (Lira) and the SGLT2i dapagliflozin (Dapa). METHODS AND RESULTS: Aged (18-22 months old) female C57BL/6J mice were fed a standardized chow (CTRL) or high-fat diet (HFD) for 12 weeks. After 8 weeks HFD, angiotensin II (ANGII), was administered for 4 weeks via osmotic mini pumps. HFD + ANGII resulted in a cardiometabolic HFpEF phenotype, including obesity, impaired glucose handling, and metabolic dysregulation with inflammation. The multiple hit resulted in typical clinical HFpEF features, including cardiac hypertrophy and fibrosis with preserved fractional shortening but with impaired myocardial deformation, atrial enlargement, lung congestion, and elevated blood pressures. Treatment with Lira attenuated the cardiometabolic dysregulation and improved cardiac function, with reduced cardiac hypertrophy, less myocardial fibrosis, and attenuation of atrial weight, natriuretic peptide levels, and lung congestion. Dapa treatment improved glucose handling, but had mild effects on the HFpEF phenotype. CONCLUSIONS: We developed a mouse model that recapitulates the human HFpEF disease, providing a novel opportunity to study disease pathogenesis and the development of enhanced therapeutic approaches. We furthermore show that attenuation of cardiometabolic dysregulation may represent a novel therapeutic target for the treatment of HFpEF.",2187,pubmed,298,Liraglutide:0.8367; Ejection fraction:0.8222; Heart failure:0.7249; Dapagliflozin:0.6995; Cardiology:0.6106; Cardiac function curve:0.6023; Internal medicine:0.5592; Medicine:0.5112; Endocrinology:0.2502; Diabetes mellitus:0.17; Type 2 diabetes:0.1064,Cardiovascular Function and Risk Factors:0.9073; Diabetes Treatment and Management:0.0516; Heart Failure Treatment and Management:0.0276,"Angiotensin II; Animals; Benzhydryl Compounds; Blood Glucose; Diet, High-Fat; Disease Models, Animal; Female; Fibrosis; Gene Expression Regulation; Glucagon-Like Peptide-1 Receptor; Glucosides; Heart Failure, Diastolic; Hypertrophy, Left Ventricular; Incretins; Liraglutide; Mice, Inbred C57BL; Myocardium; Signal Transduction; Sodium-Glucose Transporter 2 Inhibitors; Ventricular Function, Left; Ventricular Remodeling; Mice; Glucagon-Like Peptide-1 Receptor Agonists","Mice, Inbred C57BL; Mice"
