pmid,title,abstract,model_type,model_components,arms,outcomes,mechanisms,entities
38880090,RNA Sequencing Screens the Key Genes and Pathways in a Mouse Model of HFpEF,"INTRODUCTION: Heart failure with preserved ejection fraction (HFpEF) is a common syndrome with high morbidity and mortality but without available evidence-based therapies. It is essential to investigate changes in gene expression profiles in preclinical HFpEF animal models, with the aim of searching for novel therapeutic targets. METHODS: Wild-type male C57BL/6J mice were administrated with a combination of high-fat diet (HFD) and inhibition of constitutive nitric oxide synthase using N-nitro-<sc>l</sc>-arginine methyl ester (<sc>l</sc>-NAME) for 5 and 7 weeks. RNA sequencing was conducted to detect gene expression profiles, and bioinformatic analysis was performed to identify the core genes, pathways, and biological processes involved. RESULTS: A total of 1,347 genes were differentially expressed in the heart at week 5 and 7 post-intervention. Gene Ontology enrichment analysis indicated that these greatly changed genes were involved mainly in cell adhesion, neutrophil chemotaxis, cell communication, and other functions. Using hierarchical cluster analysis, these differentially expressed genes were classified into 16 profiles. Of these, three significant profiles were ultimately identified. Gene co-expression network analysis suggested troponin T type 1 (Tnnt1) directly regulated 31 neighboring genes and was considered to be at the core of the associated gene network. CONCLUSION: The combined application of RNA sequencing, hierarchical cluster analysis, and gene network analysis identified Tnnt1 as the most important gene in the development of HFpEF.",,,,,,
29055654,Echocardiographic evaluation of diastolic function in mouse models of heart disease,"BACKGROUND: Mouse models of heart disease are extensively employed. The echocardiographic characterization of contractile function is usually focused on systolic function with fewer studies assessing diastolic function. Furthermore, the applicability of diverse echocardiographic parameters of diastolic function that are commonly used in humans has not been extensively evaluated in different pathophysiological models in mice. METHODS AND RESULTS: We used high resolution echocardiography to evaluate parameters of diastolic function in mouse models of chronic pressure overload (aortic constriction), volume overload (aorto-caval shunt), heart failure with preserved ejection fraction (HFpEF; DOCA-salt hypertension), and acute sarcoplasmic reticulum dysfunction induced by thapsigargin - all known to exhibit diastolic dysfunction. Left atrial area increased in all three chronic models while mitral E/A was difficult to quantify at high heart rates. Isovolumic relaxation time (IVRT) and Doppler E/E' increased significantly and the peak longitudinal strain rate during early filling (peak reverse longitudinal strain rate) decreased significantly after aortic constriction, with the changes being proportional to the magnitude of hypertrophy. In the HFpEF model, reverse longitudinal strain rate decreased significantly but changes in IVRT and E/E' were non-significant, consistent with less severe dysfunction. With volume overload, there was a significant increase in reverse longitudinal strain rate and decrease in IVRT, indicating a restrictive physiology. Acute thapsigargin treatment caused significant prolongation of IVRT and decrease in reverse longitudinal strain rate. CONCLUSION: These results indicate that the combined measurement of left atrial area plus reverse longitudinal strain rate and/or IVRT provide an excellent overall assessment of diastolic function in the diseased mouse heart, allowing distinction between different types of pathophysiology.",,,,,,
26813102,SIRT3–AMP-Activated Protein Kinase Activation by Nitrite and Metformin Improves Hyperglycemia and Normalizes Pulmonary Hypertension Associated With Heart Failure With Preserved Ejection Fraction,"BACKGROUND: Pulmonary hypertension associated with heart failure with preserved ejection fraction (PH-HFpEF) is an increasingly recognized clinical complication of metabolic syndrome. No adequate animal model of PH-HFpEF is available, and no effective therapies have been identified to date. A recent study suggested that dietary nitrate improves insulin resistance in endothelial nitric oxide synthase null mice, and multiple studies have reported that both nitrate and its active metabolite, nitrite, have therapeutic activity in preclinical models of pulmonary hypertension. METHODS AND RESULTS: To evaluate the efficacy and mechanism of nitrite in metabolic syndrome associated with PH-HFpEF, we developed a 2-hit PH-HFpEF model in rats with multiple features of metabolic syndrome attributable to double-leptin receptor defect (obese ZSF1) with the combined treatment of vascular endothelial growth factor receptor blocker SU5416. Chronic oral nitrite treatment improved hyperglycemia in obese ZSF1 rats by a process that requires skeletal muscle SIRT3-AMPK-GLUT4 signaling. The glucose-lowering effect of nitrite was abolished in SIRT3-deficient human skeletal muscle cells, and in SIRT3 knockout mice fed a high-fat diet, as well. Skeletal muscle biopsies from humans with metabolic syndrome after 12 weeks of oral sodium nitrite and nitrate treatment (IND#115926) displayed increased activation of SIRT3 and AMP-activated protein kinase. Finally, early treatments with nitrite and metformin at the time of SU5416 injection reduced pulmonary pressures and vascular remodeling in the PH-HFpEF model with robust activation of skeletal muscle SIRT3 and AMP-activated protein kinase. CONCLUSIONS: These studies validate a rodent model of metabolic syndrome and PH-HFpEF, suggesting a potential role of nitrite and metformin as a preventative treatment for this disease.",,,,,,
32710530,ZSF1 Rat as Animal Model for HFpEF: Development of Reduced Diastolic Function and Skeletal Muscle Dysfunction,"AIMS: The prevalence of heart failure with preserved ejection fraction (HFpEF) is still increasing, and so far, no pharmaceutical treatment has proven to be effective. A key obstacle for testing new pharmaceutical substances is the availability of suitable animal models for HFpEF, which realistically reflect the clinical picture. The aim of the present study was to characterize the development of HFpEF and skeletal muscle (SM) dysfunction in ZSF1 rats over time. METHODS AND RESULTS: Echocardiography and functional analyses of the SM were performed in 6-, 10-, 15-, 20-, and 32-week-old ZSF1-lean and ZSF1-obese. Furthermore, myocardial and SM tissue was collected for molecular and histological analyses. HFpEF markers were evident as early as 10 weeks of age. Diastolic dysfunction, confirmed by a significant increase in E/e', was detectable at 10 weeks. Increased left ventricular mRNA expression of collagen and BNP was detected in ZSF1-obese animals as early as 15 and 20 weeks, respectively. The loss of muscle force was measurable in the extensor digitorum longus starting at 15 weeks, whereas the soleus muscle function was impaired at Week 32. In addition, at Week 20, markers for aortic valve sclerosis were increased. CONCLUSIONS: Our measurements confirmed the appearance of HFpEF in ZSF1-obese rats as early as 10 weeks of age, most likely as a result of the pre-existing co-morbidities. In addition, SM function was reduced after the manifestation of HFpEF. In conclusion, the ZSF1 rat may serve as a suitable animal model to study pharmaceutical strategies for the treatment of HFpEF.",,,,,,
31525070,Arterial Remodeling and Dysfunction in the ZSF1 Rat Model of Heart Failure With Preserved Ejection Fraction,"BACKGROUND: The interplay between the stiffened heart and vessels has long been viewed as a core mechanism in heart failure with preserved ejection fraction, but the incremental vascular molecular remodeling mechanisms from systemic arterial hypertension to heart failure with preserved ejection fraction remain poorly investigated. Our aim was to characterize central arterial remodeling and dysfunction in ZSF1 obese rats and to compare it with hypertensive ZSF1 lean and healthy Wistar-Kyoto controls. METHODS AND RESULTS: Twenty-week-old male ZSF1 obese (n=9), lean (n=9), and Wistar-Kyoto rats (n=9) underwent left ventricular pressure-volume loop evaluation and synchronous acquisition of ascending aortic flow and pressure. Aortic rings underwent functional evaluation, histology, and molecular biology studies. Although mean arterial pressure, characteristic aortic impedance, and reactivity to phenylephrine were similarly increased in hypertensive ZSF1 lean and obese, only ZSF1 obese showed impaired relaxation and upward-shifted end-diastolic pressure-volume relationships despite preserved systolic function indexes, denoting heart failure with preserved ejection fraction. ZSF1 obese phenotype further showed decreased aortic compliance, increased wave reflection, and impaired direct NO donor and endothelial-mediated vasodilation which were accompanied on structural and molecular grounds by aortic media thickening, higher collagen content and collagen/elastin ratio, increased fibronectin and α-5 integrin protein expression and upregulated TGF (transforming growth factor)-β and CTGF (connective tissue growth factor) levels. CONCLUSIONS: Functional, molecular, and structural disturbances of central vessels and their potentially underlying pathways were newly characterized in experimental heart failure with preserved ejection fraction rendering the ZSF1 obese rat model suitable for preclinical testing.",,,,,,
31520455,Disturbed cardiac mitochondrial and cytosolic calcium handling in a metabolic risk‐related rat model of heart failure with preserved ejection fraction,"AIM: Calcium ions play a pivotal role in matching energy supply and demand in cardiac muscle. Mitochondrial calcium concentration is lower in animal models of heart failure with reduced ejection fraction (HFrEF), but limited information is available about mitochondrial calcium handling in heart failure with preserved ejection fraction (HFpEF). METHODS: We assessed mitochondrial Ca2+ handling in intact cardiomyocytes from Zucker/fatty Spontaneously hypertensive F1 hybrid (ZSF1)-lean (control) and ZSF1-obese rats, a metabolic risk-related model of HFpEF. A mitochondrially targeted Ca2+ indicator (MitoCam) was expressed in cultured adult rat cardiomyocytes. Cytosolic and mitochondrial Ca2+ transients were measured at different stimulation frequencies. Mitochondrial respiration and swelling, and expression of key proteins were determined ex vivo. RESULTS: At rest, mitochondrial Ca2+ concentration in ZSF1-obese was larger than in ZSF1-lean. The diastolic and systolic mitochondrial Ca2+ concentrations increased with stimulation frequency, but the steady-state levels were larger in ZSF1-obese. The half-widths of the contractile responses, the resting cytosolic Ca2+ concentration and the decay half-times of the cytosolic Ca2+ transients were higher in ZSF1-obese, likely because of a lower SERCA2a/phospholamban ratio. Mitochondrial respiration was lower, particularly with nicotinamide adenine dinucleotide (NADH) (complex I) substrates, and mitochondrial swelling was larger in ZSF1-obese. CONCLUSION: The free mitochondrial calcium concentration is higher in HFpEF owing to alterations in mitochondrial and cytosolic Ca2+ handling. This coupling between cytosolic and mitochondrial Ca2+ levels may compensate for myocardial ATP supply in vivo under conditions of mild mitochondrial dysfunction. However, if mitochondrial Ca2+ concentration is sustainedly increased, it might trigger mitochondrial permeability transition pore opening.",,,,,,
28974519,Delayed Repolarization Underlies Ventricular Arrhythmias in Rats With Heart Failure and Preserved Ejection Fraction,"BACKGROUND: Heart failure with preserved ejection fraction (HFpEF) represents approximately half of heart failure, and its incidence continues to increase. The leading cause of mortality in HFpEF is sudden death, but little is known about the underlying mechanisms. METHODS: Dahl salt-sensitive rats were fed a high-salt diet (8% NaCl) from 7 weeks of age to induce HFpEF (n=38). Rats fed a normal-salt diet (0.3% NaCl) served as controls (n=13). Echocardiograms were performed to assess systolic and diastolic function from 14 weeks of age. HFpEF-verified and control rats underwent programmed electrical stimulation. Corrected QT interval was measured by surface ECG. The mechanisms of ventricular arrhythmias (VA) were probed by optical mapping, whole-cell patch clamp to measure action potential duration and ionic currents, and quantitative polymerase chain reaction and Western blotting to investigate changes in ion channel expression. RESULTS: After 7 weeks of a high-salt diet, 31 of 38 rats showed diastolic dysfunction and preserved ejection fraction along with signs of heart failure and hence were diagnosed with HFpEF. Programmed electric stimulation demonstrated increased susceptibility to VA in HFpEF rats (P<0.001 versus controls). The arrhythmogenicity index was increased (P<0.001) and the corrected QT interval on ECG was prolonged (P<0.001) in HFpEF rats. Optical mapping of HFpEF hearts demonstrated prolonged action potentials (P<0.05) and multiple reentry circuits during induced VA. Single-cell recordings of cardiomyocytes isolated from HFpEF rats confirmed a delay of repolarization (P=0.001) and revealed downregulation of transient outward potassium current (Ito; P<0.05). The rapid components of the delayed rectifier potassium current (IKr) and the inward rectifier potassium current (IK1) were also downregulated (P<0.05), but the current densities were much lower than for Ito. In accordance with the reduction of Ito, both Kcnd3 transcript and Kv4.3 protein levels were decreased in HFpEF rat hearts. CONCLUSIONS: Susceptibility to VA was markedly increased in rats with HFpEF. Underlying abnormalities include QT prolongation, delayed repolarization from downregulation of potassium currents, and multiple reentry circuits during VA. Our findings are consistent with the hypothesis that potassium current downregulation leads to abnormal repolarization in HFpEF, which in turn predisposes to VA and sudden cardiac death.",,,,,,
27922176,"Sitagliptin reduces inflammation, fibrosis and preserves diastolic function in a rat model of heart failure with preserved ejection fraction","BACKGROUND AND PURPOSE: Heart failure with preserved ejection fraction (HFpEF) is a systemic syndrome driven by co-morbidities, and its pathophysiology is poorly understood. Several studies suggesting that dipeptidyl peptidase 4 (DPP4) might be involved in the pathophysiology of heart failure have prompted experimental and clinical investigations of DPP4 inhibitors in the cardiovascular system. Here we have investigated whether the DPP4 inhibitor sitagliptin affected the progression of HFpEF independently of its effects on glycaemia. EXPERIMENTAL APPROACH: Seven-week-old Dahl salt-sensitive rats were fed a high-salt diet for 5 weeks to induce hypertension. Then the rats continued with the high-salt diet and were treated with either sitagliptin (10 mg·kg-1 ) or vehicle for the following 8 weeks. Blood pressure and cardiac function were measured in vivo. Histochemical and molecular biology analyses of myocardium were used to assay cytokines, fibrotic markers, DPP4 and glucagon-like peptide-1 (GLP-1)/GLP-1 receptor. KEY RESULTS: Treatment with sitagliptin attenuated diastolic dysfunction, reduced mortality and reduced cardiac DPP4 activity, along with increased circulating GLP-1 and myocardial expression of GLP-1 receptors. Myocardial levels of pro-inflammatory cytokines (TNF-α, IL-6 and CCL2) were reduced. Sitagliptin treatment decreased the levels of endothelial NOS monomer, responsible for generation of ROS, while the amount of NO-producing dimeric form increased. Markers of oxidative and nitrosative stress were decreased. Moreover, increased collagen deposition and activation of pro-fibrotic signalling, inducing elevated myocardial stiffness, were attenuated by sitagliptin treatment. CONCLUSIONS AND IMPLICATIONS: Sitagliptin positively modulated active relaxation and passive diastolic compliance by decreasing inflammation-related endothelial dysfunction and fibrosis, associated with HFpEF. LINKED ARTICLES: This article is part of a themed section on Targeting Inflammation to Reduce Cardiovascular Disease Risk. To view the other articles in this section visit http://onlinelibrary.wiley.com/doi/10.1111/bph.v174.22/issuetoc and http://onlinelibrary.wiley.com/doi/10.1111/bcp.v82.4/issuetoc.",,,,,,
38363584,Cardiac reverse remodeling in a mouse model with many phenotypical features of heart failure with preserved ejection fraction: effects of modifying lifestyle,"Multiple factors cause heart failure with preserved ejection fraction (HFpEF) and involve various systems. HFpEF prevalence is rapidly rising, and its prognosis remains poor after the first hospitalization. Adopting a more active lifestyle has been shown to provide beneficial clinical outcomes for patients with HFpEF. Using a two-hit HfpEF murine model, we studied cardiac reverse remodeling (RR) after stopping the causing stress and introducing voluntary exercise (VE). We checked in 2-mo-old male and female C57Bl6/J mice the heart's response to angiotensin II (ANG II; 1.5 mg/kg/day for 28 days) fed or not with a high-fat diet (HFD). Then, ANG II and/or the HFD were stopped, and VE was started for an additional 4 wk. ANG II and ANG II + HFD (metabolic-hypertensive stress, MHS) caused cardiac hypertrophy (CH) and myocardial fibrosis, left ventricular (LV) concentric remodeling, atrial enlargement, and reduced exercise capacity. HFD alone induced CH and LV concentric remodeling in female mice only. CH and LV concentric remodeling were reversed 4 wk after stopping ANG II, starting VE, and a low-fat diet. Left atrial enlargement and exercise capacity were improved but differed from controls. We performed bulk LV RNA sequencing and observed that MHS upregulated 58% of the differentially expressed genes (DEGs) compared with controls. In the RR group, compared with MHS animals, 60% of the DEGs were downregulated. In an HfpEF mouse model, we show that correcting hypertension, diet, and introducing exercise can lead to extensive cardiac reverse remodeling.NEW & NOTEWORTHY Using a two-hit murine model of heart failure with preserved ejection fraction (HfpEF), combining elevated blood pressure, obesity, and exercise intolerance in male and female animals, we showed that correction of hypertension, normalization of the diet, and introduction of voluntary exercise could help reverse the remodeling of the left ventricle and double exercise capacity. We also identify genes that escape normalization after myocardial recovery and differences between males' and females' responses to stress and recovery.",,,,,,
39018366,Vasohibin inhibition improves myocardial relaxation in a rat model of heart failure with preserved ejection fraction,"Heart failure with preserved ejection fraction (HFpEF) is a complex syndrome associated with increased myocardial stiffness and cardiac filling abnormalities. Prior studies implicated increased α-tubulin detyrosination, which is catalyzed by the vasohibin enzymes, as a contributor to increased stabilization of the cardiomyocyte microtubule network (MTN) and stiffness in failing human hearts. We explored whether increased MTN detyrosination contributed to impaired diastolic function in the ZSF1 obese rat model of HFpEF and designed a small-molecule vasohibin inhibitor to ablate MTN detyrosination in vivo. Compared with ZSF1 lean and Wistar Kyoto rats, obese rats exhibited increased tubulin detyrosination concomitant with diastolic dysfunction, left atrial enlargement, and cardiac hypertrophy with a preserved left ventricle ejection fraction, consistent with an HFpEF phenotype. Ex vivo myocardial phenotyping assessed cardiomyocyte mechanics and contractility. Vasohibin inhibitor treatment of isolated cardiomyocytes from obese rats resulted in reduced stiffness and faster relaxation. Acute in vivo treatment with vasohibin inhibitor improved diastolic relaxation in ZSF1 obese rats compared with ZSF1 lean and Wistar Kyoto rats. Vasohibin inhibition also improved relaxation in isolated human cardiomyocytes from both failing and nonfailing hearts. Our data suggest the therapeutic potential for vasohibin inhibition to reduce myocardial stiffness and improve relaxation in HFpEF.",,,,,,
